Year,publicType,resolutionStatus(%)
2010,Goal Setters,38
2011,Goal Setters,27
2012,Goal Setters,18
2013,Goal Setters,17
2014,Goal Setters,21
2015,Goal Setters,19
2016,Goal Setters,16
2017,Goal Setters,21
2018,Goal Setters,37
2019,Goal Setters,25
2010,Non Goal Setters,62
2011,Non Goal Setters,73
2012,Non Goal Setters,82
2013,Non Goal Setters,83
2014,Non Goal Setters,79
2015,Non Goal Setters,81
2016,Non Goal Setters,83
2017,Non Goal Setters,79
2018,Non Goal Setters,63
2019,Non Goal Setters,75
